ZIP_Code,Insurance_Type,Income,Food_Access
60632,Uninsured,23020,Low
60605,Uninsured,31700,Low
60630,Governmental,73947,High
60607,Governmental,27906,High
60616,Self-Insured,63642,Moderate
60660,Medicaid,44951,Low
60608,Medicaid,53660,Moderate
60611,Medicaid,27813,Moderate
60652,Self-Insured,21136,Low
60639,Uninsured,77932,Moderate
60640,Medicaid,62534,Low
60601,Private,41195,Moderate
60651,Uninsured,33507,High
60616,Uninsured,76464,Moderate
60603,Private,44557,Moderate
60637,Uninsured,39129,High
60647,Self-Insured,51598,Low
60656,Private,25295,Low
60618,Private,27214,Low
60661,Governmental,35585,High
60646,Self-Insured,71888,High
60632,Uninsured,66542,High
60619,Governmental,56766,High
60618,Governmental,35585,High
60603,Self-Insured,38271,Moderate
60621,Governmental,54832,Low
60626,Uninsured,43895,Moderate
60612,Medicaid,72997,High
60621,Uninsured,41754,High
60638,Governmental,78261,High
60629,Private,34199,Low
60632,Private,44860,High
60623,Private,46660,Low
60610,Uninsured,64486,Low
60630,Governmental,29903,High
60606,Self-Insured,25084,Low
60639,Governmental,57784,Low
60603,Uninsured,43874,High
60619,Uninsured,71417,High
60656,Private,34561,Moderate
60621,Uninsured,52913,Moderate
60622,Private,35934,Low
60613,Medicaid,43265,Moderate
60634,Medicaid,55196,High
60618,Self-Insured,31303,Moderate
60649,Medicaid,60996,High
60660,Self-Insured,46172,Moderate
60620,Private,68874,Moderate
60632,Governmental,58197,Low
60603,Medicaid,46572,Moderate
60607,Private,41730,Moderate
60629,Self-Insured,78807,High
60618,Medicaid,76638,High
60642,Uninsured,29516,Moderate
60644,Medicaid,38297,High
60629,Governmental,57573,Low
60647,Private,25295,Low
60644,Private,45821,Moderate
60645,Medicaid,52123,Moderate
60628,Uninsured,39129,High
60643,Medicaid,28073,Moderate
60621,Self-Insured,21136,Low
60621,Governmental,57573,Low
60622,Medicaid,46572,Moderate
60656,Private,40670,Low
60605,Private,38546,Moderate
60653,Private,27214,Low
60631,Self-Insured,53933,Low
60621,Uninsured,46705,Low
60655,Self-Insured,50448,Moderate
60618,Governmental,21828,High
60643,Governmental,46123,High
60619,Uninsured,27314,Moderate
60630,Private,41195,Moderate
60620,Private,35934,Low
60629,Private,69138,Moderate
60649,Medicaid,63513,Low
60642,Uninsured,70192,Moderate
60604,Medicaid,46572,Moderate
60660,Private,38546,Moderate
60608,Private,32987,Moderate
60619,Private,47082,Low
60649,Self-Insured,74842,Moderate
60601,Medicaid,62534,Low
60661,Self-Insured,71888,High
60637,Self-Insured,20806,Low
60660,Medicaid,55196,High
60631,Private,56332,Low
60622,Private,38546,Moderate
60652,Governmental,37602,Low
60632,Self-Insured,38271,Moderate
60641,Medicaid,44578,Low
60636,Medicaid,24133,High
60641,Self-Insured,46172,Moderate
60632,Medicaid,72997,High
60603,Governmental,35585,High
60624,Private,35934,Low
60631,Medicaid,46685,Low
60626,Private,75554,High
60602,Medicaid,56509,High
60645,Self-Insured,67327,Low
60631,Governmental,78261,High
60651,Medicaid,22808,Low
60623,Private,69838,Low
60661,Governmental,57573,Low
60622,Self-Insured,27657,High
60618,Uninsured,41736,Low
60661,Medicaid,60996,High
60613,Medicaid,63513,Low
60610,Medicaid,38297,High
60623,Uninsured,27314,Moderate
60632,Self-Insured,53933,Low
60632,Uninsured,79452,Moderate
60646,Private,34199,Low
60608,Uninsured,29516,Moderate
60625,Uninsured,46292,Low
60661,Self-Insured,37320,Low
60626,Uninsured,41736,Low
60626,Self-Insured,68988,High
60656,Governmental,27009,Moderate
60619,Governmental,54832,Low
60642,Private,31593,Low
60609,Uninsured,76979,High
60623,Private,45821,Moderate
60659,Governmental,64064,Low
60659,Governmental,57567,Low
60608,Private,30706,Low
60623,Governmental,60600,Moderate
60629,Uninsured,62520,High
60604,Medicaid,43265,Moderate
60660,Medicaid,28073,Moderate
60618,Uninsured,51290,High
60649,Medicaid,57443,Moderate
60651,Medicaid,48841,Low
60638,Self-Insured,78762,Moderate
60608,Medicaid,53062,Low
60644,Uninsured,61844,High
60612,Private,35934,Low
60628,Uninsured,51883,High
60634,Uninsured,30177,Low
60642,Uninsured,51966,High
60620,Private,40953,Low
60611,Private,25295,Low
60639,Medicaid,41427,Moderate
60630,Governmental,58001,High
60625,Uninsured,65648,Low
60637,Governmental,57573,Low
60638,Uninsured,52913,Moderate
60652,Medicaid,43265,Moderate
60615,Private,34199,Low
60639,Medicaid,34663,Moderate
60626,Uninsured,45425,Moderate
60641,Private,66681,Moderate
60645,Uninsured,43895,Moderate
60649,Governmental,31939,Moderate
60601,Governmental,21828,High
60645,Private,77208,Moderate
60628,Medicaid,52413,Low
60641,Uninsured,76464,Moderate
60601,Private,36661,Low
60660,Uninsured,69469,High
60624,Private,38850,High
60661,Governmental,65539,Moderate
60656,Uninsured,70192,Moderate
60602,Uninsured,23738,High
60660,Self-Insured,34899,High
60612,Governmental,69146,Moderate
60612,Uninsured,79452,Moderate
60654,Self-Insured,65028,Low
60625,Medicaid,57311,High
60621,Self-Insured,30222,Low
60612,Uninsured,69469,High
60612,Uninsured,46588,High
60615,Uninsured,31700,Low
60639,Governmental,73947,High
60614,Private,60329,Moderate
60616,Governmental,27009,Moderate
60603,Private,42890,Moderate
60604,Medicaid,76638,High
60659,Governmental,65539,Moderate
60647,Private,69838,Low
60629,Governmental,65539,Moderate
60633,Governmental,57784,Low
60619,Medicaid,34663,Moderate
60610,Medicaid,55400,Moderate
60615,Governmental,63194,High
60638,Self-Insured,26183,Low
60661,Uninsured,79452,Moderate
60618,Governmental,37602,Low
60611,Private,77775,Low
60605,Private,38850,High
60660,Self-Insured,31303,Moderate
60656,Governmental,35585,High
60659,Governmental,71904,High
60609,Medicaid,49125,Low
60644,Medicaid,49257,Moderate
60628,Uninsured,77932,Moderate
60626,Uninsured,79452,Moderate
60642,Self-Insured,31303,Moderate
60653,Uninsured,51883,High
60643,Private,36661,Low
60616,Private,45280,Low
60634,Self-Insured,22469,Low
60613,Self-Insured,29017,High
60620,Uninsured,45559,High
60661,Governmental,63194,High
60622,Governmental,57784,Low
60657,Medicaid,41427,Moderate
60607,Uninsured,35152,Moderate
60611,Medicaid,27813,Moderate
60652,Medicaid,49125,Low
60609,Governmental,57573,Low
60610,Uninsured,79452,Moderate
60623,Private,22139,Moderate
60638,Private,46660,Low
60608,Private,44262,Low
60623,Self-Insured,29017,High
60657,Private,40670,Low
60640,Self-Insured,68845,High
60634,Self-Insured,25445,Moderate
60617,Governmental,64064,Low
60642,Private,32713,Moderate
60618,Private,38546,Moderate
60646,Governmental,23972,Low
60632,Private,50561,Low
60632,Uninsured,61844,High
60621,Uninsured,60042,High
60631,Private,32713,Moderate
60613,Governmental,35585,High
60615,Uninsured,34859,High
60601,Uninsured,51290,High
60602,Uninsured,23738,High
60655,Private,42890,Moderate
60623,Private,38850,High
60607,Governmental,71904,High
60641,Medicaid,46685,Low
60643,Uninsured,24494,Moderate
60629,Governmental,49241,High
60631,Medicaid,57311,High
60603,Governmental,73947,High
60628,Governmental,54832,Low
60606,Medicaid,62874,Low
60607,Self-Insured,25084,Low
60657,Self-Insured,71756,Moderate
60660,Private,47082,Low
60623,Medicaid,54801,Low
60623,Uninsured,79452,Moderate
60657,Private,60329,Moderate
60659,Self-Insured,40695,Low
60604,Self-Insured,45931,Moderate
60617,Medicaid,71535,Low
60624,Uninsured,51883,High
60634,Self-Insured,69976,Low
60625,Medicaid,52088,High
60651,Self-Insured,68845,High
60615,Medicaid,62207,Moderate
60659,Self-Insured,78762,Moderate
60612,Uninsured,46588,High
60609,Self-Insured,37674,Low
60607,Uninsured,27314,Moderate
60617,Uninsured,27491,Low
60637,Self-Insured,45338,High
60617,Governmental,54080,Moderate
60616,Medicaid,47570,Moderate
60629,Self-Insured,50220,Low
60611,Private,67037,Moderate
60604,Governmental,27906,High
60647,Uninsured,71417,High
60631,Private,38546,Moderate
60657,Uninsured,66249,Low
60617,Private,45280,Low
60612,Governmental,22353,High
60613,Self-Insured,69976,Low
60631,Governmental,54832,Low
60602,Medicaid,60970,High
60622,Self-Insured,49757,Low
60615,Private,44860,High
60654,Uninsured,39129,High
60659,Private,41730,Moderate
60649,Uninsured,23020,Low
60612,Uninsured,51966,High
60659,Medicaid,62874,Low
60628,Governmental,49241,High
60649,Self-Insured,68845,High
60604,Private,21007,Low
60604,Governmental,64064,Low
60622,Uninsured,38088,Moderate
60645,Medicaid,38297,High
60633,Self-Insured,38271,Moderate
60619,Uninsured,62520,High
60623,Uninsured,45425,Moderate
60647,Private,61873,Low
60634,Private,45821,Moderate
60609,Self-Insured,31303,Moderate
60632,Medicaid,38297,High
60613,Private,78629,Low
60607,Private,61755,Moderate
60652,Medicaid,78331,Low
60661,Uninsured,64486,Low
60638,Medicaid,49257,Moderate
60637,Private,22396,High
60632,Medicaid,66007,Low
60656,Uninsured,43874,High
60634,Governmental,20726,Moderate
60649,Medicaid,52123,Moderate
60634,Self-Insured,38271,Moderate
60637,Private,77775,Low
60653,Medicaid,44578,Low
60660,Self-Insured,74842,Moderate
60615,Private,38546,Moderate
60632,Private,34561,Moderate
60618,Governmental,56766,High
60602,Uninsured,33507,High
60655,Self-Insured,68845,High
60628,Medicaid,63001,High
60605,Self-Insured,45931,Moderate
60620,Self-Insured,71756,Moderate
60608,Medicaid,48841,Low
60655,Private,78629,Low
60653,Governmental,49241,High
60629,Medicaid,72997,High
60631,Uninsured,46705,Low
60601,Medicaid,52123,Moderate
60644,Private,69138,Moderate
60617,Medicaid,78250,High
60641,Private,47082,Low
60625,Uninsured,39623,High
60629,Private,70948,Low
60644,Governmental,52284,Moderate
60638,Uninsured,76979,High
60629,Self-Insured,45338,High
60661,Self-Insured,68988,High
60614,Uninsured,33507,High
60608,Medicaid,46685,Low
60649,Uninsured,77932,Moderate
60624,Private,21007,Low
60623,Self-Insured,69708,High
60642,Self-Insured,71888,High
60631,Self-Insured,51598,Low
60617,Private,64460,High
60631,Uninsured,46292,Low
60656,Uninsured,70192,Moderate
60615,Self-Insured,31362,High
60659,Private,32713,Moderate
60642,Self-Insured,20806,Low
60618,Private,66681,Moderate
60625,Governmental,31939,Moderate
60601,Uninsured,79452,Moderate
60652,Medicaid,52123,Moderate
60615,Uninsured,67517,High
60622,Private,31745,High
60625,Governmental,48831,High
60640,Governmental,21828,High
60620,Governmental,54157,Low
60638,Governmental,66600,High
60631,Uninsured,30177,Low
60604,Medicaid,38297,High
60601,Private,47082,Low
60649,Private,38024,High
60655,Uninsured,51290,High
60613,Medicaid,46572,Moderate
60626,Governmental,68280,Low
60631,Self-Insured,37764,High
60611,Medicaid,53130,High
60605,Private,64569,High
60661,Governmental,66600,High
60629,Medicaid,53130,High
60654,Self-Insured,65028,Low
60601,Governmental,35585,High
60661,Governmental,41452,High
60623,Uninsured,41736,Low
60621,Governmental,49241,High
60628,Private,35934,Low
60612,Medicaid,48841,Low
60633,Private,61898,Low
60631,Governmental,56766,High
60659,Uninsured,24494,Moderate
60618,Self-Insured,67327,Low
60638,Governmental,41452,High
60645,Governmental,22719,Low
60616,Private,31745,High
60661,Governmental,67182,High
60630,Uninsured,39129,High
60603,Medicaid,67319,Moderate
60611,Private,41195,Moderate
60639,Private,45821,Moderate
60642,Private,30706,Low
60617,Uninsured,50678,High
60602,Uninsured,61844,High
60619,Medicaid,67295,Moderate
60659,Uninsured,70192,Moderate
60645,Private,42534,Low
60623,Self-Insured,46172,Moderate
60634,Medicaid,46572,Moderate
60626,Medicaid,57443,Moderate
60622,Governmental,60600,Moderate
60617,Self-Insured,46172,Moderate
60625,Self-Insured,45931,Moderate
60616,Medicaid,66007,Low
60623,Governmental,64064,Low
60651,Private,30706,Low
60632,Uninsured,34859,High
60613,Private,68874,Moderate
60646,Self-Insured,29017,High
60603,Private,60329,Moderate
60640,Medicaid,78331,Low
60639,Uninsured,46705,Low
60631,Uninsured,67638,Low
60649,Private,66681,Moderate
60603,Governmental,71904,High
60609,Governmental,27009,Moderate
60601,Self-Insured,20806,Low
60631,Governmental,60600,Moderate
60638,Self-Insured,37764,High
60614,Private,61755,Moderate
60615,Private,38546,Moderate
60620,Governmental,31939,Moderate
60647,Uninsured,70106,High
60642,Self-Insured,65028,Low
60659,Governmental,43821,Moderate
60621,Private,64460,High
60617,Uninsured,62520,High
60637,Medicaid,49192,Moderate
60643,Medicaid,29155,High
60661,Medicaid,72997,High
60646,Self-Insured,31303,Moderate
60619,Medicaid,53062,Low
60615,Governmental,56766,High
60634,Medicaid,57443,Moderate
60629,Self-Insured,63642,Moderate
60607,Uninsured,43895,Moderate
60606,Medicaid,28245,High
60643,Governmental,68280,Low
60612,Medicaid,59692,High
60653,Medicaid,27813,Moderate
60629,Governmental,21828,High
60629,Private,38546,Moderate
60630,Private,61755,Moderate
60609,Self-Insured,69708,High
60612,Uninsured,79452,Moderate
60655,Uninsured,41736,Low
60606,Private,42890,Moderate
60645,Private,64569,High
60616,Medicaid,38297,High
60619,Self-Insured,75505,Low
60653,Private,22050,High
60603,Self-Insured,69976,Low
60621,Medicaid,52413,Low
60615,Private,45280,Low
60653,Uninsured,38088,Moderate
60625,Self-Insured,40695,Low
60611,Governmental,54157,Low
60653,Uninsured,66249,Low
60602,Private,34199,Low
60610,Private,66681,Moderate
60607,Self-Insured,49757,Low
60610,Medicaid,67319,Moderate
60654,Medicaid,78331,Low
60609,Medicaid,52413,Low
60636,Governmental,22353,High
60608,Uninsured,51883,High
60608,Uninsured,62520,High
60661,Private,46660,Low
60604,Self-Insured,21136,Low
60655,Medicaid,38787,Moderate
60601,Medicaid,41727,Low
60649,Uninsured,39129,High
60629,Uninsured,65648,Low
60619,Self-Insured,37320,Low
60617,Medicaid,70417,Moderate
60644,Private,68874,Moderate
60602,Self-Insured,46172,Moderate
60616,Uninsured,34859,High
60644,Self-Insured,78762,Moderate
60653,Private,47082,Low
60644,Self-Insured,29017,High
60637,Private,33281,Low
60603,Uninsured,34859,High
60633,Uninsured,46588,High
60604,Medicaid,70417,Moderate
60616,Medicaid,55400,Moderate
60619,Medicaid,27813,Moderate
60644,Private,61873,Low
60630,Medicaid,67319,Moderate
60621,Private,46660,Low
60656,Self-Insured,53742,High
60606,Private,41730,Moderate
60632,Private,44262,Low
60629,Self-Insured,37674,Low
60602,Uninsured,46705,Low
60643,Governmental,69146,Moderate
60619,Uninsured,34859,High
60619,Uninsured,41754,High
60631,Private,56332,Low
60649,Medicaid,62534,Low
60620,Medicaid,46572,Moderate
60660,Governmental,31939,Moderate
60626,Medicaid,27813,Moderate
60625,Uninsured,70192,Moderate
60649,Uninsured,69469,High
60657,Uninsured,46588,High
60615,Medicaid,44578,Low
60633,Governmental,27009,Moderate
60637,Governmental,69146,Moderate
60633,Medicaid,27813,Moderate
60639,Medicaid,67054,Low
60626,Private,54636,High
60645,Governmental,64064,Low
60653,Governmental,20726,Moderate
60655,Self-Insured,46172,Moderate
60613,Medicaid,67295,Moderate
60646,Uninsured,33507,High
60617,Private,42890,Moderate
60619,Medicaid,46685,Low
60642,Medicaid,63001,High
60649,Self-Insured,38271,Moderate
60657,Private,31593,Low
60655,Uninsured,51290,High
60639,Private,75619,Moderate
60617,Medicaid,44951,Low
60607,Private,38024,High
60622,Medicaid,49257,Moderate
60609,Private,70948,Low
60637,Medicaid,63513,Low
60620,Medicaid,55400,Moderate
60601,Governmental,43821,Moderate
60655,Medicaid,28073,Moderate
60625,Self-Insured,38271,Moderate
60628,Medicaid,52123,Moderate
60640,Medicaid,52088,High
60609,Medicaid,47570,Moderate
60661,Private,44557,Moderate
60654,Governmental,27906,High
60609,Uninsured,77932,Moderate
60615,Medicaid,76638,High
60649,Uninsured,66249,Low
60644,Medicaid,29155,High
60640,Self-Insured,67456,Low
60631,Governmental,63194,High
60601,Private,34199,Low
60620,Medicaid,41427,Moderate
60641,Medicaid,27059,Low
60630,Governmental,54832,Low
60617,Medicaid,71535,Low
60646,Self-Insured,63642,Moderate
60651,Uninsured,43895,Moderate
60651,Private,42534,Low
60606,Private,77208,Moderate
60651,Uninsured,30177,Low
60618,Uninsured,62520,High
60622,Governmental,29882,Moderate
60602,Medicaid,44578,Low
60651,Self-Insured,38271,Moderate
60639,Medicaid,52088,High
60660,Medicaid,57311,High
60622,Uninsured,41510,Low
60641,Medicaid,76638,High
60638,Private,41195,Moderate
60631,Governmental,31939,Moderate
60631,Uninsured,35152,Moderate
60639,Uninsured,45425,Moderate
60623,Self-Insured,29017,High
60611,Self-Insured,69708,High
60610,Private,32987,Moderate
60641,Medicaid,41727,Low
60630,Uninsured,24494,Moderate
60649,Private,77208,Moderate
60654,Governmental,29077,High
60656,Medicaid,62874,Low
60609,Governmental,43821,Moderate
60657,Uninsured,23020,Low
60647,Medicaid,49192,Moderate
60657,Medicaid,60970,High
60607,Private,79720,Low
60619,Uninsured,66249,Low
60614,Uninsured,64486,Low
60624,Medicaid,46685,Low
60621,Private,53339,Moderate
60620,Governmental,64641,Low
60621,Medicaid,57443,Moderate
60638,Governmental,60600,Moderate
60632,Medicaid,66007,Low
60607,Private,22139,Moderate
60608,Medicaid,28073,Moderate
60645,Private,32987,Moderate
60630,Private,40953,Low
60654,Self-Insured,67327,Low
60653,Governmental,23972,Low
60610,Self-Insured,74028,Moderate
60631,Private,75619,Moderate
60616,Medicaid,55400,Moderate
60649,Governmental,43821,Moderate
60628,Private,31745,High
60659,Medicaid,55400,Moderate
60642,Governmental,22719,Low
60649,Private,77775,Low
60624,Self-Insured,49757,Low
60617,Governmental,64064,Low
60620,Medicaid,29155,High
60647,Uninsured,46588,High
60645,Medicaid,56509,High
60653,Governmental,57567,Low
60637,Medicaid,78250,High
60609,Uninsured,24494,Moderate
60653,Self-Insured,78807,High
60633,Self-Insured,74842,Moderate
60631,Private,50561,Low
60607,Uninsured,34859,High
60625,Self-Insured,65028,Low
60620,Medicaid,59692,High
60640,Uninsured,66249,Low
60621,Self-Insured,31362,High
60652,Medicaid,46572,Moderate
60611,Uninsured,43874,High
60628,Uninsured,30177,Low
60602,Medicaid,28245,High
60602,Private,32713,Moderate
60659,Self-Insured,53933,Low
60603,Medicaid,70417,Moderate
60646,Uninsured,41736,Low
60603,Uninsured,62520,High
60640,Self-Insured,75505,Low
60612,Medicaid,63513,Low
60609,Private,22050,High
60608,Medicaid,49192,Moderate
60657,Uninsured,41736,Low
60628,Governmental,58197,Low
60609,Governmental,22353,High
60649,Medicaid,38787,Moderate
60618,Private,36661,Low
60628,Medicaid,47083,High
60656,Uninsured,79452,Moderate
60625,Private,61755,Moderate
60606,Medicaid,71535,Low
60620,Private,31745,High
60604,Medicaid,41727,Low
60629,Medicaid,62207,Moderate
60657,Uninsured,61844,High
60661,Governmental,40420,Moderate
60652,Self-Insured,20806,Low
60603,Uninsured,34859,High
60613,Self-Insured,35876,High
60646,Private,31383,Low
60622,Medicaid,52123,Moderate
60636,Governmental,35585,High
60634,Governmental,69146,Moderate
60640,Uninsured,24494,Moderate
60632,Medicaid,71535,Low
60611,Governmental,31939,Moderate
60608,Medicaid,74302,Low
60623,Governmental,54832,Low
60613,Medicaid,78250,High
60653,Medicaid,63001,High
60647,Self-Insured,53742,High
60618,Medicaid,51575,High
